?skill	?skillLabel
<https://test.linked.data.gov.au/def/nst/SK051803>	"Cyber Threat Identification"
<https://test.linked.data.gov.au/def/nst/SK051900>	"Breach Blocking"
<https://test.linked.data.gov.au/def/nst/SK051908>	"Policy Review"
<https://test.linked.data.gov.au/def/nst/SK121266>	"End User Device Analysis"
<https://test.linked.data.gov.au/def/nst/SK121262>	"Soe Deployment Decision-Making"
<https://test.linked.data.gov.au/def/nst/SK121260>	"Soe Application Reporting Oversight"
<https://test.linked.data.gov.au/def/nst/SK121259>	"Operating Environment Advantage Evaluation"
<https://test.linked.data.gov.au/def/nst/SK121264>	"Soe Deployment Assessment"
<https://test.linked.data.gov.au/def/nst/SK125531>	"Ict Technical Instruction"
<https://test.linked.data.gov.au/def/nst/SK125525>	"Ict Documentation Development"
<https://test.linked.data.gov.au/def/nst/SK121203>	"Ip Policy Interpretation"
<https://test.linked.data.gov.au/def/nst/SK121207>	"Ict Policy Access Management"
<https://test.linked.data.gov.au/def/nst/SK122518>	"Network Operating System Feature Assessment"
<https://test.linked.data.gov.au/def/nst/SK122519>	"Network Os Upgrade Strategy"
<https://test.linked.data.gov.au/def/nst/SK052048>	"Commitment Communication"
<https://test.linked.data.gov.au/def/nst/SK122493>	"Network Systems Problem Solving"
<https://test.linked.data.gov.au/def/nst/125975>	"Algorithm Design"
<https://test.linked.data.gov.au/def/nst/125985>	"Programming Problem Solving"
<https://test.linked.data.gov.au/def/nst/SK042803>	"Assumption Evaluation"
<https://test.linked.data.gov.au/def/nst/SK042815>	"Critical Questioning"
<https://test.linked.data.gov.au/def/nst/SK042805>	"Connection Assessment"
<https://test.linked.data.gov.au/def/nst/SK127631>	"Webpage Hyperlink Integration"
<https://test.linked.data.gov.au/def/nst/SK127636>	"Web Text Design"
<https://test.linked.data.gov.au/def/nst/SK127623>	"Web Page Accessibility Assessment"
<https://test.linked.data.gov.au/def/nst/SK127633>	"Web Page Multimedia Integration"
<https://test.linked.data.gov.au/def/nst/SK127626>	"Web Directory Structure Management"
<https://test.linked.data.gov.au/def/nst/SK127629>	"Web Ftp Transfer Management"
<https://test.linked.data.gov.au/def/nst/SK051918>	"Cyber Security Stakeholder Consultation"
<https://test.linked.data.gov.au/def/nst/SK051918>	"Data Set Organization"
<https://test.linked.data.gov.au/def/nst/SK051817>	"Sensitive Pii Identification"
<https://test.linked.data.gov.au/def/nst/SK051808>	"Personal Information Data Management"
<https://test.linked.data.gov.au/def/nst/SK051921>	"Infrastructure Fault Reporting"
<https://test.linked.data.gov.au/def/nst/SK051925>	"Privacy Policy Application"
<https://test.linked.data.gov.au/def/nst/SK051927>	"Sensitive Data Identification"
